 r_peak180.000000 r_peak_value0.826769 rr_pre_interval180.000000 rr_post_interval410.000000 p_onset332.000000 p_onset_val-0.023497 p_peak355.000000 p_peak_val0.127083 p_end366.000000 p_end_val-0.020658 qrs_onset373.000000 qrs_onset_val-0.136646 qrs_end15.000000 qrs_end_val-0.453027 t_peak105.000000 t_peak_val0.615882 t_end137.000000 t_end_val-0.019009
 r_peak590.000000 r_peak_value0.754658 rr_pre_interval410.000000 rr_post_interval406.000000 p_onset319.000000 p_onset_val-0.036597 p_peak354.000000 p_peak_val0.126916 p_end362.000000 p_end_val0.011351 qrs_onset388.000000 qrs_onset_val-0.147317 qrs_end15.000000 qrs_end_val-0.403400 t_peak105.000000 t_peak_val0.592714 t_end146.000000 t_end_val-0.071122
 r_peak996.000000 r_peak_value0.723122 rr_pre_interval406.000000 rr_post_interval405.000000 p_onset321.000000 p_onset_val-0.037334 p_peak351.000000 p_peak_val0.076380 p_end379.000000 p_end_val-0.166536 qrs_onset386.000000 qrs_onset_val-0.181458 qrs_end3.000000 qrs_end_val0.072151 t_peak105.000000 t_peak_val0.600089 t_end136.000000 t_end_val0.001795
 r_peak1401.000000 r_peak_value0.758965 rr_pre_interval405.000000 rr_post_interval425.000000 p_onset335.000000 p_onset_val-0.010140 p_peak371.000000 p_peak_val0.147838 p_end391.000000 p_end_val-0.100608 qrs_onset405.000000 qrs_onset_val-0.132100 qrs_end15.000000 qrs_end_val-0.332806 t_peak108.000000 t_peak_val0.609766 t_end155.000000 t_end_val-0.040515
 r_peak1826.000000 r_peak_value0.695503 rr_pre_interval425.000000 rr_post_interval413.000000 p_onset328.000000 p_onset_val-0.038087 p_peak355.000000 p_peak_val0.102853 p_end376.000000 p_end_val-0.118776 qrs_onset393.000000 qrs_onset_val-0.154075 qrs_end14.000000 qrs_end_val-0.450922 t_peak103.000000 t_peak_val0.577447 t_end109.000000 t_end_val0.568310
 r_peak2239.000000 r_peak_value0.739094 rr_pre_interval413.000000 rr_post_interval429.000000 p_onset344.000000 p_onset_val-0.059609 p_peak373.000000 p_peak_val0.111848 p_end393.000000 p_end_val-0.130284 qrs_onset413.000000 qrs_onset_val-0.154939 qrs_end15.000000 qrs_end_val-0.476861 t_peak109.000000 t_peak_val0.572585 t_end168.000000 t_end_val-0.004502
 r_peak2668.000000 r_peak_value0.730423 rr_pre_interval429.000000 rr_post_interval428.000000 p_onset343.000000 p_onset_val-0.024715 p_peak376.000000 p_peak_val0.109814 p_end394.000000 p_end_val-0.148884 qrs_onset406.000000 qrs_onset_val-0.177004 qrs_end15.000000 qrs_end_val-0.333855 t_peak111.000000 t_peak_val0.613882 t_end160.000000 t_end_val-0.050286
 r_peak3096.000000 r_peak_value0.682243 rr_pre_interval428.000000 rr_post_interval425.000000 p_onset344.000000 p_onset_val-0.048967 p_peak368.000000 p_peak_val0.107287 p_end389.000000 p_end_val-0.125330 qrs_onset400.000000 qrs_onset_val-0.151412 qrs_end17.000000 qrs_end_val-0.187538 t_peak105.000000 t_peak_val0.629217 t_end153.000000 t_end_val-0.064270
 r_peak3521.000000 r_peak_value0.760581 rr_pre_interval425.000000 rr_post_interval429.000000 p_onset323.000000 p_onset_val-0.055596 p_peak374.000000 p_peak_val0.111176 p_end394.000000 p_end_val-0.142852 qrs_onset404.000000 qrs_onset_val-0.158745 qrs_end15.000000 qrs_end_val-0.402208 t_peak102.000000 t_peak_val0.579311 t_end152.000000 t_end_val-0.083979
 r_peak3950.000000 r_peak_value0.714406 rr_pre_interval429.000000 rr_post_interval422.000000 p_onset336.000000 p_onset_val-0.033965 p_peak365.000000 p_peak_val0.134170 p_end387.000000 p_end_val-0.118182 qrs_onset402.000000 qrs_onset_val-0.144703 qrs_end15.000000 qrs_end_val-0.340217 t_peak103.000000 t_peak_val0.601320 t_end135.000000 t_end_val-0.031155
 r_peak4372.000000 r_peak_value0.664123 rr_pre_interval422.000000 rr_post_interval419.000000 p_onset326.000000 p_onset_val-0.054106 p_peak364.000000 p_peak_val0.131930 p_end389.000000 p_end_val-0.120767 qrs_onset401.000000 qrs_onset_val-0.123854 qrs_end16.000000 qrs_end_val-0.442820 t_peak111.000000 t_peak_val0.611548 t_end166.000000 t_end_val-0.049518
 r_peak4791.000000 r_peak_value0.749701 rr_pre_interval419.000000 rr_post_interval439.000000 p_onset357.000000 p_onset_val-0.001032 p_peak379.000000 p_peak_val0.136129 p_end410.000000 p_end_val-0.135157 qrs_onset420.000000 qrs_onset_val-0.182476 qrs_end16.000000 qrs_end_val-0.302086 t_peak104.000000 t_peak_val0.605348 t_end150.000000 t_end_val-0.076151
 r_peak5230.000000 r_peak_value0.726693 rr_pre_interval439.000000 rr_post_interval427.000000 p_onset329.000000 p_onset_val-0.052979 p_peak372.000000 p_peak_val0.109577 p_end392.000000 p_end_val-0.131958 qrs_onset406.000000 qrs_onset_val-0.155657 qrs_end16.000000 qrs_end_val-0.436005 t_peak110.000000 t_peak_val0.599957 t_end151.000000 t_end_val-0.068002
 r_peak5657.000000 r_peak_value0.674500 rr_pre_interval427.000000 rr_post_interval433.000000 p_onset342.000000 p_onset_val-0.029419 p_peak377.000000 p_peak_val0.133966 p_end393.000000 p_end_val-0.095830 qrs_onset406.000000 qrs_onset_val-0.196034 qrs_end16.000000 qrs_end_val-0.393256 t_peak111.000000 t_peak_val0.580797 t_end162.000000 t_end_val-0.030524
 r_peak6090.000000 r_peak_value0.727366 rr_pre_interval433.000000 rr_post_interval450.000000 p_onset364.000000 p_onset_val0.001082 p_peak397.000000 p_peak_val0.114923 p_end422.000000 p_end_val-0.122413 qrs_onset437.000000 qrs_onset_val-0.128322 qrs_end15.000000 qrs_end_val-0.370784 t_peak111.000000 t_peak_val0.588151 t_end144.000000 t_end_val-0.024890
 r_peak6540.000000 r_peak_value0.649795 rr_pre_interval450.000000 rr_post_interval435.000000 p_onset356.000000 p_onset_val-0.017634 p_peak380.000000 p_peak_val0.133448 p_end404.000000 p_end_val-0.108572 qrs_onset420.000000 qrs_onset_val-0.124529 qrs_end13.000000 qrs_end_val-0.631413 t_peak109.000000 t_peak_val0.604674 t_end113.000000 t_end_val0.546602
 r_peak6975.000000 r_peak_value0.704705 rr_pre_interval435.000000 rr_post_interval447.000000 p_onset358.000000 p_onset_val0.008604 p_peak392.000000 p_peak_val0.133072 p_end414.000000 p_end_val-0.097837 qrs_onset430.000000 qrs_onset_val-0.142681 qrs_end15.000000 qrs_end_val-0.301627 t_peak105.000000 t_peak_val0.564402 t_end156.000000 t_end_val-0.091465
 r_peak7422.000000 r_peak_value0.623732 rr_pre_interval447.000000 rr_post_interval434.000000 p_onset339.000000 p_onset_val-0.038307 p_peak378.000000 p_peak_val0.101207 p_end406.000000 p_end_val-0.165110 qrs_onset420.000000 qrs_onset_val-0.151473 qrs_end14.000000 qrs_end_val-0.409858 t_peak113.000000 t_peak_val0.594464 t_end161.000000 t_end_val-0.036870
 r_peak7856.000000 r_peak_value0.694532 rr_pre_interval434.000000 rr_post_interval455.000000 p_onset358.000000 p_onset_val-0.018402 p_peak400.000000 p_peak_val0.122288 p_end418.000000 p_end_val-0.100626 qrs_onset437.000000 qrs_onset_val-0.119467 qrs_end12.000000 qrs_end_val-0.527741 t_peak111.000000 t_peak_val0.565514 t_end145.000000 t_end_val-0.018707
 r_peak8311.000000 r_peak_value0.680079 rr_pre_interval455.000000 rr_post_interval441.000000 p_onset358.000000 p_onset_val-0.043634 p_peak387.000000 p_peak_val0.095205 p_end410.000000 p_end_val-0.112147 qrs_onset426.000000 qrs_onset_val-0.118512 qrs_end15.000000 qrs_end_val-0.369829 t_peak111.000000 t_peak_val0.586479 t_end167.000000 t_end_val-0.061794
 r_peak8752.000000 r_peak_value0.698699 rr_pre_interval441.000000 rr_post_interval448.000000 p_onset362.000000 p_onset_val-0.031504 p_peak390.000000 p_peak_val0.136364 p_end412.000000 p_end_val-0.117304 qrs_onset431.000000 qrs_onset_val-0.151004 qrs_end15.000000 qrs_end_val-0.428715 t_peak104.000000 t_peak_val0.567208 t_end145.000000 t_end_val-0.055665
 r_peak9200.000000 r_peak_value0.710752 rr_pre_interval448.000000 rr_post_interval440.000000 p_onset337.000000 p_onset_val-0.013007 p_peak384.000000 p_peak_val0.119452 p_end407.000000 p_end_val-0.139137 qrs_onset423.000000 qrs_onset_val-0.115702 qrs_end15.000000 qrs_end_val-0.451771 t_peak110.000000 t_peak_val0.606945 t_end163.000000 t_end_val-0.031624
 r_peak9640.000000 r_peak_value0.650784 rr_pre_interval440.000000 rr_post_interval431.000000 p_onset329.000000 p_onset_val-0.039058 p_peak369.000000 p_peak_val0.097870 p_end396.000000 p_end_val-0.137976 qrs_onset415.000000 qrs_onset_val-0.117115 qrs_end15.000000 qrs_end_val-0.507994 t_peak105.000000 t_peak_val0.585803 t_end146.000000 t_end_val-0.056420
 r_peak10071.000000 r_peak_value0.693217 rr_pre_interval431.000000 rr_post_interval440.000000 p_onset352.000000 p_onset_val-0.035690 p_peak383.000000 p_peak_val0.128730 p_end404.000000 p_end_val-0.087618 qrs_onset420.000000 qrs_onset_val-0.148997 qrs_end15.000000 qrs_end_val-0.415748 t_peak105.000000 t_peak_val0.580328 t_end147.000000 t_end_val-0.066861
 r_peak10511.000000 r_peak_value0.691317 rr_pre_interval440.000000 rr_post_interval408.000000 p_onset307.000000 p_onset_val-0.061521 p_peak350.000000 p_peak_val0.111459 p_end369.000000 p_end_val-0.105235 qrs_onset390.000000 qrs_onset_val-0.154670 qrs_end15.000000 qrs_end_val-0.426208 t_peak108.000000 t_peak_val0.620514 t_end166.000000 t_end_val-0.031340
 r_peak10919.000000 r_peak_value0.729092 rr_pre_interval408.000000 rr_post_interval420.000000 p_onset329.000000 p_onset_val-0.062227 p_peak364.000000 p_peak_val0.109890 p_end391.000000 p_end_val-0.171489 qrs_onset402.000000 qrs_onset_val-0.162414 qrs_end16.000000 qrs_end_val-0.424497 t_peak111.000000 t_peak_val0.574450 t_end163.000000 t_end_val-0.063691
 r_peak11339.000000 r_peak_value0.782336 rr_pre_interval420.000000 rr_post_interval410.000000 p_onset330.000000 p_onset_val-0.050330 p_peak361.000000 p_peak_val0.110955 p_end382.000000 p_end_val-0.137352 qrs_onset391.000000 qrs_onset_val-0.178168 qrs_end13.000000 qrs_end_val-0.516159 t_peak109.000000 t_peak_val0.626188 t_end164.000000 t_end_val-0.053657
