 r_peak159.000000 r_peak_value0.813873 rr_pre_interval159.000000 rr_post_interval273.000000 p_onset77.000000 p_onset_val0.277527 p_peak175.000000 p_peak_val0.011584 p_end237.000000 p_end_val-0.187803 qrs_onset253.000000 qrs_onset_val-0.160626 qrs_end14.000000 qrs_end_val0.022196 t_peak85.000000 t_peak_val0.303295 t_end174.000000 t_end_val-0.023087
 r_peak432.000000 r_peak_value0.637445 rr_pre_interval273.000000 rr_post_interval293.000000 p_onset126.000000 p_onset_val-0.023165 p_peak190.000000 p_peak_val0.019591 p_end192.000000 p_end_val-0.001240 qrs_onset283.000000 qrs_onset_val-0.041331 qrs_end18.000000 qrs_end_val0.003810 t_peak82.000000 t_peak_val0.362055 t_end84.000000 t_end_val0.341365
 r_peak725.000000 r_peak_value0.772917 rr_pre_interval293.000000 rr_post_interval335.000000 p_onset202.000000 p_onset_val-0.122348 p_peak231.000000 p_peak_val0.053296 p_end263.000000 p_end_val-0.107381 qrs_onset314.000000 qrs_onset_val-0.071003 qrs_end20.000000 qrs_end_val-0.010124 t_peak98.000000 t_peak_val0.247586 t_end202.000000 t_end_val-0.122348
 r_peak1060.000000 r_peak_value0.761627 rr_pre_interval335.000000 rr_post_interval305.000000 p_onset179.000000 p_onset_val-0.135879 p_peak203.000000 p_peak_val0.002664 p_end206.000000 p_end_val-0.002869 qrs_onset293.000000 qrs_onset_val-0.219167 qrs_end18.000000 qrs_end_val0.040627 t_peak88.000000 t_peak_val0.258937 t_end179.000000 t_end_val-0.135879
 r_peak1365.000000 r_peak_value0.763058 rr_pre_interval305.000000 rr_post_interval286.000000 p_onset198.000000 p_onset_val-0.027415 p_peak253.000000 p_peak_val0.027193 p_end256.000000 p_end_val-0.159359 qrs_onset267.000000 qrs_onset_val-0.077823 qrs_end16.000000 qrs_end_val0.054844 t_peak91.000000 t_peak_val0.344919 t_end187.000000 t_end_val-0.054482
 r_peak1651.000000 r_peak_value0.767113 rr_pre_interval286.000000 rr_post_interval284.000000 p_onset80.000000 p_onset_val0.261175 p_peak188.000000 p_peak_val-0.034029 p_end221.000000 p_end_val-0.269809 qrs_onset264.000000 qrs_onset_val-0.079810 qrs_end17.000000 qrs_end_val0.091925 t_peak85.000000 t_peak_val0.311707 t_end190.000000 t_end_val-0.080455
 r_peak1935.000000 r_peak_value0.775691 rr_pre_interval284.000000 rr_post_interval287.000000 p_onset86.000000 p_onset_val0.294612 p_peak197.000000 p_peak_val-0.034812 p_end253.000000 p_end_val-0.128870 qrs_onset277.000000 qrs_onset_val-0.172725 qrs_end18.000000 qrs_end_val-0.002818 t_peak83.000000 t_peak_val0.315489 t_end86.000000 t_end_val0.294612
 r_peak2222.000000 r_peak_value0.674093 rr_pre_interval287.000000 rr_post_interval277.000000 p_onset158.000000 p_onset_val-0.118982 p_peak180.000000 p_peak_val0.046205 p_end182.000000 p_end_val0.035029 qrs_onset264.000000 qrs_onset_val-0.137868 qrs_end18.000000 qrs_end_val0.036568 t_peak72.000000 t_peak_val0.343981 t_end85.000000 t_end_val0.337414
 r_peak2499.000000 r_peak_value0.760078 rr_pre_interval277.000000 rr_post_interval293.000000 p_onset166.000000 p_onset_val-0.057098 p_peak197.000000 p_peak_val0.032918 p_end199.000000 p_end_val0.002102 qrs_onset274.000000 qrs_onset_val-0.184184 qrs_end18.000000 qrs_end_val-0.007022 t_peak84.000000 t_peak_val0.344013 t_end127.000000 t_end_val0.016571
 r_peak2792.000000 r_peak_value0.709985 rr_pre_interval293.000000 rr_post_interval302.000000 p_onset128.000000 p_onset_val-0.000111 p_peak198.000000 p_peak_val-0.000394 p_end265.000000 p_end_val-0.134499 qrs_onset289.000000 qrs_onset_val-0.148496 qrs_end18.000000 qrs_end_val-0.003417 t_peak81.000000 t_peak_val0.338478 t_end128.000000 t_end_val-0.000111
 r_peak3094.000000 r_peak_value0.762853 rr_pre_interval302.000000 rr_post_interval308.000000 p_onset180.000000 p_onset_val-0.130394 p_peak203.000000 p_peak_val0.032238 p_end205.000000 p_end_val0.011047 qrs_onset295.000000 qrs_onset_val-0.134452 qrs_end15.000000 qrs_end_val-0.037162 t_peak85.000000 t_peak_val0.280145 t_end88.000000 t_end_val0.279831
