 r_peak315.000000 r_peak_value0.178384 rr_pre_interval315.000000 rr_post_interval416.000000 p_onset280.000000 p_onset_val-0.036281 p_peak332.000000 p_peak_val0.067575 p_end368.000000 p_end_val-0.039088 qrs_onset399.000000 qrs_onset_val0.028545 qrs_end11.000000 qrs_end_val-0.052791 t_peak92.000000 t_peak_val0.244782 t_end168.000000 t_end_val-0.038692
 r_peak731.000000 r_peak_value0.218731 rr_pre_interval416.000000 rr_post_interval417.000000 p_onset291.000000 p_onset_val-0.029902 p_peak335.000000 p_peak_val0.058419 p_end345.000000 p_end_val-0.004905 qrs_onset402.000000 qrs_onset_val0.070440 qrs_end11.000000 qrs_end_val-0.084248 t_peak107.000000 t_peak_val0.264652 t_end159.000000 t_end_val-0.014241
 r_peak1148.000000 r_peak_value0.192945 rr_pre_interval417.000000 rr_post_interval409.000000 p_onset308.000000 p_onset_val-0.007927 p_peak336.000000 p_peak_val0.056898 p_end368.000000 p_end_val-0.045424 qrs_onset396.000000 qrs_onset_val0.046006 qrs_end13.000000 qrs_end_val-0.054203 t_peak103.000000 t_peak_val0.228868 t_end168.000000 t_end_val-0.036328
 r_peak1557.000000 r_peak_value0.212698 rr_pre_interval409.000000 rr_post_interval413.000000 p_onset290.000000 p_onset_val-0.037543 p_peak324.000000 p_peak_val0.063883 p_end373.000000 p_end_val-0.058434 qrs_onset395.000000 qrs_onset_val0.009576 qrs_end13.000000 qrs_end_val-0.060580 t_peak103.000000 t_peak_val0.240655 t_end174.000000 t_end_val-0.008283
 r_peak1970.000000 r_peak_value0.226192 rr_pre_interval413.000000 rr_post_interval392.000000 p_onset274.000000 p_onset_val-0.055285 p_peak313.000000 p_peak_val0.067708 p_end351.000000 p_end_val-0.086866 qrs_onset381.000000 qrs_onset_val-0.046132 qrs_end11.000000 qrs_end_val-0.090813 t_peak103.000000 t_peak_val0.260018 t_end168.000000 t_end_val-0.015226
 r_peak2362.000000 r_peak_value0.184322 rr_pre_interval392.000000 rr_post_interval385.000000 p_onset275.000000 p_onset_val-0.006268 p_peak298.000000 p_peak_val0.058654 p_end351.000000 p_end_val-0.061568 qrs_onset372.000000 qrs_onset_val-0.088336 qrs_end11.000000 qrs_end_val-0.080114 t_peak95.000000 t_peak_val0.274231 t_end156.000000 t_end_val-0.001218
 r_peak2747.000000 r_peak_value0.154295 rr_pre_interval385.000000 rr_post_interval424.000000 p_onset318.000000 p_onset_val-0.015272 p_peak340.000000 p_peak_val0.068634 p_end388.000000 p_end_val-0.067963 qrs_onset409.000000 qrs_onset_val-0.022823 qrs_end12.000000 qrs_end_val-0.072571 t_peak112.000000 t_peak_val0.218783 t_end183.000000 t_end_val-0.018015
 r_peak3171.000000 r_peak_value0.166895 rr_pre_interval424.000000 rr_post_interval402.000000 p_onset279.000000 p_onset_val-0.043873 p_peak323.000000 p_peak_val0.070154 p_end358.000000 p_end_val-0.063434 qrs_onset391.000000 qrs_onset_val-0.105660 qrs_end12.000000 qrs_end_val-0.077258 t_peak108.000000 t_peak_val0.272780 t_end152.000000 t_end_val-0.005806
 r_peak3573.000000 r_peak_value0.212790 rr_pre_interval402.000000 rr_post_interval394.000000 p_onset286.000000 p_onset_val-0.006004 p_peak311.000000 p_peak_val0.064765 p_end323.000000 p_end_val0.016633 qrs_onset381.000000 qrs_onset_val-0.085171 qrs_end10.000000 qrs_end_val-0.118621 t_peak96.000000 t_peak_val0.271572 t_end175.000000 t_end_val-0.027314
 r_peak3967.000000 r_peak_value0.145722 rr_pre_interval394.000000 rr_post_interval765.000000 p_onset428.000000 p_onset_val0.033003 p_peak487.000000 p_peak_val0.265143 p_end550.000000 p_end_val-0.030603 qrs_onset754.000000 qrs_onset_val-0.167117 qrs_end10.000000 qrs_end_val-0.103778 t_peak105.000000 t_peak_val0.218395 t_end144.000000 t_end_val-0.007386
 r_peak4732.000000 r_peak_value0.185846 rr_pre_interval765.000000 rr_post_interval413.000000 p_onset301.000000 p_onset_val-0.017100 p_peak323.000000 p_peak_val0.068341 p_end369.000000 p_end_val-0.062757 qrs_onset399.000000 qrs_onset_val-0.047115 qrs_end12.000000 qrs_end_val-0.085955 t_peak106.000000 t_peak_val0.290723 t_end165.000000 t_end_val-0.026572
 r_peak5145.000000 r_peak_value0.208180 rr_pre_interval413.000000 rr_post_interval797.000000 p_onset460.000000 p_onset_val0.062136 p_peak509.000000 p_peak_val0.277695 p_end563.000000 p_end_val0.008946 qrs_onset781.000000 qrs_onset_val0.025455 qrs_end12.000000 qrs_end_val-0.066461 t_peak107.000000 t_peak_val0.242113 t_end156.000000 t_end_val-0.006344
 r_peak5942.000000 r_peak_value0.202071 rr_pre_interval797.000000 rr_post_interval390.000000 p_onset254.000000 p_onset_val-0.045060 p_peak306.000000 p_peak_val0.055408 p_end353.000000 p_end_val-0.067384 qrs_onset374.000000 qrs_onset_val0.022883 qrs_end13.000000 qrs_end_val-0.055499 t_peak108.000000 t_peak_val0.301050 t_end174.000000 t_end_val-0.025159
 r_peak6332.000000 r_peak_value0.198071 rr_pre_interval390.000000 rr_post_interval24424.000000 p_onset14734.000000 p_onset_val0.013408 p_peak14797.000000 p_peak_val0.315427 p_end14874.000000 p_end_val-0.028577 qrs_onset24409.000000 qrs_onset_val-0.060250 qrs_end10.000000 qrs_end_val-0.087307 t_peak479.000000 t_peak_val0.292270 t_end589.000000 t_end_val-0.047888
 r_peak30756.000000 r_peak_value0.441457 rr_pre_interval24424.000000 rr_post_interval597.000000 p_onset496.000000 p_onset_val-0.017218 p_peak519.000000 p_peak_val0.100795 p_end530.000000 p_end_val0.047020 qrs_onset583.000000 qrs_onset_val0.115236 qrs_end15.000000 qrs_end_val-1.037023 t_peak110.000000 t_peak_val0.482120 t_end230.000000 t_end_val-0.124082
 r_peak31353.000000 r_peak_value0.376274 rr_pre_interval597.000000 rr_post_interval14244.000000 p_onset13680.000000 p_onset_val-0.174531 p_peak13782.000000 p_peak_val0.307790 p_end13840.000000 p_end_val-0.009624 qrs_onset14225.000000 qrs_onset_val-0.054169 qrs_end11.000000 qrs_end_val-0.046514 t_peak3521.000000 t_peak_val0.274762 t_end3592.000000 t_end_val0.006867
 r_peak45597.000000 r_peak_value0.461804 rr_pre_interval14244.000000 rr_post_interval23992.000000 p_onset23451.000000 p_onset_val0.035792 p_peak23502.000000 p_peak_val0.301195 p_end23560.000000 p_end_val-0.029160 qrs_onset23975.000000 qrs_onset_val-0.065312 qrs_end17.000000 qrs_end_val-0.839139 t_peak101.000000 t_peak_val0.432708 t_end147.000000 t_end_val0.076530
 r_peak69589.000000 r_peak_value0.572085 rr_pre_interval23992.000000 rr_post_interval10912.000000 p_onset10739.000000 p_onset_val0.096848 p_peak10841.000000 p_peak_val0.314936 p_end10885.000000 p_end_val-0.027133 qrs_onset10892.000000 qrs_onset_val-0.056318 qrs_end19.000000 qrs_end_val-0.889732 t_peak110.000000 t_peak_val0.491038 t_end226.000000 t_end_val-0.119769
 r_peak80501.000000 r_peak_value0.429639 rr_pre_interval10912.000000 rr_post_interval4622.000000 p_onset3676.000000 p_onset_val0.034781 p_peak3739.000000 p_peak_val0.310155 p_end3782.000000 p_end_val0.018978 qrs_onset4610.000000 qrs_onset_val-0.109385 qrs_end17.000000 qrs_end_val-0.924199 t_peak115.000000 t_peak_val0.390436 t_end234.000000 t_end_val-0.094348
 r_peak85123.000000 r_peak_value0.334439 rr_pre_interval4622.000000 rr_post_interval2000.000000 p_onset1712.000000 p_onset_val0.059604 p_peak1767.000000 p_peak_val0.278870 p_end1835.000000 p_end_val-0.050958 qrs_onset1979.000000 qrs_onset_val0.025830 qrs_end9.000000 qrs_end_val0.011101 t_peak1017.000000 t_peak_val0.275705 t_end1081.000000 t_end_val-0.030206
 r_peak87123.000000 r_peak_value0.686471 rr_pre_interval2000.000000 rr_post_interval1820.000000 p_onset1698.000000 p_onset_val0.121271 p_peak1740.000000 p_peak_val0.295000 p_end1773.000000 p_end_val0.003386 qrs_onset1802.000000 qrs_onset_val-0.030768 qrs_end19.000000 qrs_end_val-0.721618 t_peak973.000000 t_peak_val0.274061 t_end1018.000000 t_end_val-0.011524
 r_peak88943.000000 r_peak_value0.450486 rr_pre_interval1820.000000 rr_post_interval1969.000000 p_onset1791.000000 p_onset_val0.024440 p_peak1859.000000 p_peak_val0.277419 p_end1911.000000 p_end_val-0.023901 qrs_onset1955.000000 qrs_onset_val-0.035078 qrs_end15.000000 qrs_end_val-0.919061 t_peak102.000000 t_peak_val0.396814 t_end202.000000 t_end_val-0.063912
 r_peak90912.000000 r_peak_value0.575440 rr_pre_interval1969.000000 rr_post_interval2040.000000 p_onset1365.000000 p_onset_val-0.034515 p_peak1472.000000 p_peak_val0.257337 p_end1530.000000 p_end_val-0.051735 qrs_onset2017.000000 qrs_onset_val-0.062509 qrs_end21.000000 qrs_end_val-0.577664 t_peak99.000000 t_peak_val0.410501 t_end199.000000 t_end_val-0.079583
 r_peak92952.000000 r_peak_value0.658996 rr_pre_interval2040.000000 rr_post_interval1909.000000 p_onset1751.000000 p_onset_val0.024168 p_peak1803.000000 p_peak_val0.266521 p_end1852.000000 p_end_val-0.002838 qrs_onset1892.000000 qrs_onset_val-0.040676 qrs_end21.000000 qrs_end_val-0.496208 t_peak99.000000 t_peak_val0.259135 t_end155.000000 t_end_val0.052938
 r_peak94861.000000 r_peak_value0.583446 rr_pre_interval1909.000000 rr_post_interval5654.000000 p_onset3368.000000 p_onset_val0.031350 p_peak3439.000000 p_peak_val0.297337 p_end3507.000000 p_end_val-0.035709 qrs_onset5636.000000 qrs_onset_val-0.038051 qrs_end16.000000 qrs_end_val-0.828200 t_peak108.000000 t_peak_val0.327743 t_end138.000000 t_end_val0.175769
 r_peak100515.000000 r_peak_value0.644722 rr_pre_interval5654.000000 rr_post_interval3145.000000 p_onset2816.000000 p_onset_val-0.353367 p_peak2914.000000 p_peak_val0.299658 p_end2950.000000 p_end_val0.020656 qrs_onset3125.000000 qrs_onset_val0.041125 qrs_end22.000000 qrs_end_val-0.607694 t_peak922.000000 t_peak_val0.296076 t_end962.000000 t_end_val-0.021194
 r_peak103660.000000 r_peak_value0.699589 rr_pre_interval3145.000000 rr_post_interval1845.000000 p_onset1663.000000 p_onset_val-0.572212 p_peak1773.000000 p_peak_val0.286347 p_end1801.000000 p_end_val0.001035 qrs_onset1827.000000 qrs_onset_val-0.050610 qrs_end16.000000 qrs_end_val-0.783860 t_peak968.000000 t_peak_val0.242242 t_end1005.000000 t_end_val0.032099
