 r_peak95.000000 r_peak_value2.286257 rr_pre_interval95.000000 rr_post_interval158.000000 p_onset34.000000 p_onset_val-0.667047 p_peak95.000000 p_peak_val0.692728 p_end116.000000 p_end_val0.104844 qrs_onset140.000000 qrs_onset_val-0.093763 qrs_end17.000000 qrs_end_val-0.476955 t_peak92.000000 t_peak_val0.759609 t_end157.000000 t_end_val2.511926
 r_peak253.000000 r_peak_value2.583634 rr_pre_interval158.000000 rr_post_interval225.000000 p_onset148.000000 p_onset_val-0.063621 p_peak180.000000 p_peak_val0.222663 p_end198.000000 p_end_val-0.164749 qrs_onset206.000000 qrs_onset_val-0.213730 qrs_end15.000000 qrs_end_val-0.354954 t_peak86.000000 t_peak_val0.378859 t_end126.000000 t_end_val-0.050107
 r_peak478.000000 r_peak_value2.384029 rr_pre_interval225.000000 rr_post_interval195.000000 p_onset95.000000 p_onset_val0.681785 p_peak149.000000 p_peak_val0.247634 p_end164.000000 p_end_val-0.128367 qrs_onset176.000000 qrs_onset_val-0.122663 qrs_end20.000000 qrs_end_val-0.561458 t_peak95.000000 t_peak_val0.681785 t_end148.000000 t_end_val0.239610
 r_peak673.000000 r_peak_value2.277523 rr_pre_interval195.000000 rr_post_interval200.000000 p_onset91.000000 p_onset_val0.613054 p_peak151.000000 p_peak_val0.155488 p_end173.000000 p_end_val-0.221269 qrs_onset183.000000 qrs_onset_val-0.220000 qrs_end16.000000 qrs_end_val-0.491115 t_peak91.000000 t_peak_val0.613054 t_end151.000000 t_end_val0.155488
 r_peak873.000000 r_peak_value2.373244 rr_pre_interval200.000000 rr_post_interval203.000000 p_onset93.000000 p_onset_val0.710767 p_peak154.000000 p_peak_val0.243545 p_end156.000000 p_end_val0.241413 qrs_onset187.000000 qrs_onset_val-0.175753 qrs_end16.000000 qrs_end_val-0.483246 t_peak94.000000 t_peak_val0.722069 t_end156.000000 t_end_val0.241413
 r_peak1076.000000 r_peak_value2.238340 rr_pre_interval203.000000 rr_post_interval197.000000 p_onset90.000000 p_onset_val0.576866 p_peak150.000000 p_peak_val0.211646 p_end168.000000 p_end_val-0.151753 qrs_onset175.000000 qrs_onset_val-0.164026 qrs_end20.000000 qrs_end_val-0.581346 t_peak92.000000 t_peak_val0.605378 t_end150.000000 t_end_val0.211646
 r_peak1273.000000 r_peak_value2.320910 rr_pre_interval197.000000 rr_post_interval193.000000 p_onset92.000000 p_onset_val0.664467 p_peak147.000000 p_peak_val0.278653 p_end163.000000 p_end_val-0.148495 qrs_onset177.000000 qrs_onset_val-0.191850 qrs_end17.000000 qrs_end_val-0.486584 t_peak92.000000 t_peak_val0.664467 t_end148.000000 t_end_val0.267665
 r_peak1466.000000 r_peak_value2.320549 rr_pre_interval193.000000 rr_post_interval189.000000 p_onset86.000000 p_onset_val0.641302 p_peak141.000000 p_peak_val0.225078 p_end156.000000 p_end_val-0.166097 qrs_onset163.000000 qrs_onset_val-0.127210 qrs_end18.000000 qrs_end_val-0.463369 t_peak88.000000 t_peak_val0.647822 t_end140.000000 t_end_val0.211520
 r_peak1655.000000 r_peak_value2.274890 rr_pre_interval189.000000 rr_post_interval194.000000 p_onset89.000000 p_onset_val0.693325 p_peak150.000000 p_peak_val0.270439 p_end167.000000 p_end_val-0.156113 qrs_onset175.000000 qrs_onset_val-0.137663 qrs_end19.000000 qrs_end_val-0.459999 t_peak90.000000 t_peak_val0.694516 t_end153.000000 t_end_val0.140846
 r_peak1849.000000 r_peak_value2.307588 rr_pre_interval194.000000 rr_post_interval198.000000 p_onset91.000000 p_onset_val0.618037 p_peak149.000000 p_peak_val0.270485 p_end169.000000 p_end_val-0.170720 qrs_onset180.000000 qrs_onset_val-0.218009 qrs_end20.000000 qrs_end_val-0.529781 t_peak92.000000 t_peak_val0.619589 t_end149.000000 t_end_val0.270485
 r_peak2047.000000 r_peak_value2.442320 rr_pre_interval198.000000 rr_post_interval190.000000 p_onset89.000000 p_onset_val0.638915 p_peak142.000000 p_peak_val0.234198 p_end166.000000 p_end_val-0.166725 qrs_onset173.000000 qrs_onset_val-0.219138 qrs_end17.000000 qrs_end_val-0.472979 t_peak88.000000 t_peak_val0.648695 t_end89.000000 t_end_val0.638915
