 r_peak289.000000 r_peak_value0.446337 rr_pre_interval289.000000 rr_post_interval203.000000 p_onset67.000000 p_onset_val-0.020044 p_peak137.000000 p_peak_val-0.120848 p_end164.000000 p_end_val-0.228481 qrs_onset190.000000 qrs_onset_val-0.171727 qrs_end17.000000 qrs_end_val0.681039 t_peak29.000000 t_peak_val0.681148 t_end68.000000 t_end_val-0.020671
 r_peak492.000000 r_peak_value1.561754 rr_pre_interval203.000000 rr_post_interval312.000000 p_onset32.000000 p_onset_val-1.832728 p_peak198.000000 p_peak_val-0.058008 p_end236.000000 p_end_val-0.274591 qrs_onset299.000000 qrs_onset_val-0.155548 qrs_end15.000000 qrs_end_val-0.219751 t_peak132.000000 t_peak_val1.066805 t_end188.000000 t_end_val-0.099090
 r_peak804.000000 r_peak_value1.513071 rr_pre_interval312.000000 rr_post_interval319.000000 p_onset184.000000 p_onset_val-0.103497 p_peak204.000000 p_peak_val-0.084281 p_end251.000000 p_end_val-0.231664 qrs_onset308.000000 qrs_onset_val-0.169704 qrs_end12.000000 qrs_end_val0.211615 t_peak132.000000 t_peak_val0.995644 t_end185.000000 t_end_val-0.073606
 r_peak1123.000000 r_peak_value1.530845 rr_pre_interval319.000000 rr_post_interval308.000000 p_onset33.000000 p_onset_val-1.814497 p_peak185.000000 p_peak_val-0.006461 p_end192.000000 p_end_val-0.057041 qrs_onset296.000000 qrs_onset_val-0.137006 qrs_end14.000000 qrs_end_val0.080863 t_peak130.000000 t_peak_val0.967209 t_end191.000000 t_end_val-0.043437
 r_peak1431.000000 r_peak_value1.476896 rr_pre_interval308.000000 rr_post_interval303.000000 p_onset162.000000 p_onset_val-0.064587 p_peak183.000000 p_peak_val-0.053694 p_end213.000000 p_end_val-0.159870 qrs_onset291.000000 qrs_onset_val-0.050095 qrs_end12.000000 qrs_end_val0.160064 t_peak122.000000 t_peak_val0.716553 t_end163.000000 t_end_val-0.049790
 r_peak1734.000000 r_peak_value1.611771 rr_pre_interval303.000000 rr_post_interval292.000000 p_onset136.000000 p_onset_val-0.177646 p_peak191.000000 p_peak_val0.105313 p_end207.000000 p_end_val0.035108 qrs_onset276.000000 qrs_onset_val-0.118542 qrs_end11.000000 qrs_end_val0.492431 t_peak107.000000 t_peak_val0.141054 t_end136.000000 t_end_val-0.177646
 r_peak2026.000000 r_peak_value1.605832 rr_pre_interval292.000000 rr_post_interval292.000000 p_onset44.000000 p_onset_val-0.861348 p_peak176.000000 p_peak_val0.060299 p_end236.000000 p_end_val-0.206523 qrs_onset282.000000 qrs_onset_val-0.197400 qrs_end10.000000 qrs_end_val0.297415 t_peak121.000000 t_peak_val1.020349 t_end236.000000 t_end_val-0.206523
 r_peak2318.000000 r_peak_value1.536583 rr_pre_interval292.000000 rr_post_interval303.000000 p_onset162.000000 p_onset_val-0.100502 p_peak183.000000 p_peak_val-0.005031 p_end220.000000 p_end_val-0.197115 qrs_onset287.000000 qrs_onset_val-0.185704 qrs_end17.000000 qrs_end_val-0.774981 t_peak123.000000 t_peak_val1.105050 t_end164.000000 t_end_val-0.068746
 r_peak2621.000000 r_peak_value1.643277 rr_pre_interval303.000000 rr_post_interval298.000000 p_onset162.000000 p_onset_val-0.028778 p_peak180.000000 p_peak_val-0.002775 p_end240.000000 p_end_val-0.243965 qrs_onset285.000000 qrs_onset_val-0.211020 qrs_end24.000000 qrs_end_val-1.443809 t_peak121.000000 t_peak_val1.082133 t_end162.000000 t_end_val-0.028778
 r_peak2919.000000 r_peak_value1.581332 rr_pre_interval298.000000 rr_post_interval309.000000 p_onset171.000000 p_onset_val-0.065578 p_peak194.000000 p_peak_val-0.037445 p_end226.000000 p_end_val-0.221351 qrs_onset296.000000 qrs_onset_val-0.145422 qrs_end15.000000 qrs_end_val-0.093887 t_peak128.000000 t_peak_val1.064342 t_end171.000000 t_end_val-0.065578
 r_peak3228.000000 r_peak_value1.555708 rr_pre_interval309.000000 rr_post_interval308.000000 p_onset32.000000 p_onset_val-1.886784 p_peak185.000000 p_peak_val-0.006507 p_end231.000000 p_end_val-0.240126 qrs_onset293.000000 qrs_onset_val-0.186065 qrs_end11.000000 qrs_end_val0.271037 t_peak130.000000 t_peak_val1.056096 t_end179.000000 t_end_val-0.033230
